principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,Unnamed: 0,Species,dataset,numSamples,LandCover,Tool,Sensor,Site,Year,Al_area_mg_cm2,Al_mass_mg_g,Anth_area_ug_cm2,Anth_mass_mg_g,Boron_area_mg_cm2,Boron_mass_mg_g,C_area_mg_cm2,C_mass_mg_g,Ca_area_mg_cm2,Ca_mass_mg_g,Car_area_ug_cm2,Car_mass_mg_g,Cellulose_mg_cm2,Cellulose_mg_g,Chl_area_ug_cm2,Chl_mass_mg_g,Cu_area_mg_cm2,Cu_mass_mg_g,EWT_mg_cm2,Fiber_mg_cm2,Fiber_mg_g,Flavonoids_area_mg_cm2,Flavonoids_mass_mg_g,Iron_area_mg_cm2,Iron_mass_mg_g,LAI_m2_m2,LMA_g_m2,LDMC_g_g,LWC%,Lignin_mg_cm2,Lignin_mg_g,Mg_area_mg_cm2,Mg_mass_mg_g,Mn_area_mg_cm2,Mn_mass_mg_g,N_area_mg_cm2,N_mass_mg_g,NSC_mg_cm2,NSC_mg_g,Phenolics_area_mg_cm2,Phenolics_mass_mg_g,P_area_mg_cm2,P_mass_mg_g,Potassium_area_mg_cm2,Potassium_mass_mg_g,Protein_g_m2,RWC%,Starch_area_mg_cm2,Starch_mass_mg_g,Sugar_area_mg_cm2,Sugar_mass_mg_g,S_area_mg_cm2,S_mass_mg_g,Zn _area_mg_cm2,Zn_mass_mg_g,Latitude,Longitude,bio_1,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-4.636744,-15.965227,-3.9430375,-2.3582597,-2.9107633,-7.070444,3.6587253,-6.957286,-2.183586,1.6634434,0,Agrostis sp,1,73,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",2016.0,,,,,,,,,0.010938365,5.7556,,,,,19.33997867,10.17640049,,,6.019981554,,,,,,,,19.00473422,0.239944981,76.00550186,,,0.003696421,1.945,,,0.051647262,27.175998,,,,,,,,,,,,,,,,,,,51.050452,4.432147,10.275092,780.9378,25.266666,12.621699,546.30566,22.2,,,,
21.166925,4.270346,-7.578181,-3.8309834,-0.64937186,-1.9073298,3.7547858,-3.985533,-0.4383713,3.28287,1,Agrostis sp,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",2016.0,,,,,,,,,0.012191345,4.371190763,,,,,24.07812286,8.633179727,,,6.617554218,,,,,,,,27.89021383,0.296496993,70.35030067,,,0.005759905,2.065206627,,,0.060400645,21.656573,,,,,,,,,,,,,,,,,,,50.953734,5.436023,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
25.718765,-22.794184,-9.76965,2.0467901,-0.6667599,-7.874128,4.4286175,-4.2304554,-2.8468223,3.9661713,2,Agrostis sp,1,73,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",2016.0,,,,,,,,,0.016675043,4.635952142,,,,,19.01040153,5.28522253,,,6.612722633,,,,,,,,35.96897089,0.352304707,64.76952926,,,0.00451681,1.255751744,,,0.095978433,26.683675,,,,,,,,,,,,,,,,,,,50.978703,4.608445,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
-9.279778,-16.018137,-9.674307,-3.8194456,-3.3975098,-4.1196814,1.5486511,-3.9777899,0.27281857,0.90440565,3,Agrostis sp,1,73,Grassland,Proximal,ASD FieldSpec 3,"HaachtHol, Belgium",2016.0,,,,,,,,,0.012687347,4.028508982,,,,,25.50478552,8.098324666,,,7.095194003,,,,,,,,31.49390346,0.307420022,69.2579978,,,0.003512179,1.115193214,,,0.082232654,26.110658,,,,,,,,,,,,,,,,,,,50.98496,4.589217,10.289963,787.4311,23.12,11.44659,551.49225,22.370667,231.0,264.0,404.0,177.0
-5.6901016,-9.028572,4.54377,-7.430706,2.3940337,-2.786131,2.4594822,-4.7727184,-1.2525536,2.5501258,4,Angelica sylvestris,1,73,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",2016.0,,,,,,,,,0.125558682,24.73090551,,,,,11.52918621,2.270868165,,,12.71285039,,,,,,,,50.76994952,0.285387245,71.46127549,,,0.011551063,2.275177165,,,0.073144104,14.406968,,,,,,,,,,,,,,,,,,,50.978703,4.608445,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
0.22119758,-7.4157743,1.6863631,-1.8486356,-1.2779267,-2.1946228,3.4843667,-5.6320496,-1.8612012,1.6747252,5,Arrhenaterum elatius,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",2016.0,,,,,,,,,0.010789872,3.807051459,,,,,23.12853602,8.160571908,,,6.949855171,,,,,,,,28.34180776,0.289673995,71.03260054,,,0.004670719,1.647996209,,,0.085647211,30.219389,,,,,,,,,,,,,,,,,,,50.953734,5.436023,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
9.150582,-2.5063028,-8.076865,-0.1850837,-3.3442678,-3.6152995,4.7274456,-5.298155,-1.8659265,1.5800822,6,Arrhenatherum elatius,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",2016.0,,,,,,,,,0.01200851,4.367871486,,,,,26.74102578,9.726549554,,,7.146532222,,,,,,,,27.49281811,0.277822704,72.21772962,,,0.005297723,1.926947791,,,0.085081551,30.946828,,,,,,,,,,,,,,,,,,,50.951474,5.430897,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
51.95353,8.772873,-13.760566,-9.80631,1.5987775,3.4388292,2.3063567,-0.54891783,-0.9313215,3.1829898,7,Calamgrostis epigejos,1,73,Grassland,Proximal,SVC HR-1024TM,"HeverleeKapel, Belgium",2016.0,,,,,,,,,0.01955494,2.731726908,,,,,23.21848045,3.243505119,,,10.46521947,,,,,,,,71.58453461,0.406183971,59.38160286,,,0.004969519,0.694216867,,,0.114687831,16.021314,,,,,,,,,,,,,,,,,,,50.861312,4.665949,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
40.2846,14.048091,4.68473,-5.464835,-3.9664047,-4.389314,2.5590925,-10.034677,-2.787275,-0.5835348,8,Calystegia sepium,1,73,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",2016.0,,,,,,,,,0.02035173,8.8604,,,,,24.4125549,10.62833502,,,11.89283987,,,,,,,,22.96931256,0.161872326,83.81276741,,,0.003589506,1.56274,,,0.07432655,32.359066,,,,,,,,,,,,,,,,,,,51.060832,4.429857,10.275092,780.9378,25.266666,12.621699,546.30566,22.2,,,,
-1.5761068,-9.26052,2.2325263,-1.716001,-4.0741177,-4.7928276,3.6443417,-6.4512486,-2.626415,-0.3306867,9,Calystegia sepium,1,73,Grassland,Proximal,ASD FieldSpec 3,"DoBeI, Belgium",2016.0,,,,,,,,,0.022024478,11.512,,,,,20.81039549,10.87740963,,,10.57322558,,,,,,,,19.13175673,0.153220743,84.67792574,,,0.003670772,1.91868,,,0.080796914,42.231832,,,,,,,,,,,,,,,,,,,50.82296,4.642087,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
