0,1,2,3,4,5,6,7,8,9,Unnamed: 0,Species,dataset,numSamples,LandCover,Tool,Sensor,Site,Year,Al_area_mg_cm2,Al_mass_mg_g,Anth_area_ug_cm2,Anth_mass_mg_g,Boron_area_mg_cm2,Boron_mass_mg_g,C_area_mg_cm2,C_mass_mg_g,Ca_area_mg_cm2,Ca_mass_mg_g,Car_area_ug_cm2,Car_mass_mg_g,Cellulose_mg_cm2,Cellulose_mg_g,Chl_area_ug_cm2,Chl_mass_mg_g,Cu_area_mg_cm2,Cu_mass_mg_g,EWT_mg_cm2,Fiber_mg_cm2,Fiber_mg_g,Flavonoids_area_mg_cm2,Flavonoids_mass_mg_g,Iron_area_mg_cm2,Iron_mass_mg_g,LAI_m2_m2,LMA_g_m2,LDMC_g_g,LWC%,Lignin_mg_cm2,Lignin_mg_g,Mg_area_mg_cm2,Mg_mass_mg_g,Mn_area_mg_cm2,Mn_mass_mg_g,N_area_mg_cm2,N_mass_mg_g,NSC_mg_cm2,NSC_mg_g,Phenolics_area_mg_cm2,Phenolics_mass_mg_g,P_area_mg_cm2,P_mass_mg_g,Potassium_area_mg_cm2,Potassium_mass_mg_g,Protein_g_m2,RWC%,Starch_area_mg_cm2,Starch_mass_mg_g,Sugar_area_mg_cm2,Sugar_mass_mg_g,S_area_mg_cm2,S_mass_mg_g,Zn _area_mg_cm2,Zn_mass_mg_g,Latitude,Longitude,bio_1,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
0.0009034545,-0.0018258654,0.0021008379,0.0035485178,-0.7279036,0.0021343445,-0.003841652,-1.4191474,-0.0023289537,0.0020474745,0,Agrostis sp,1,73,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",2016.0,,,,,,,,,0.010938365,5.7556,,,,,19.33997867,10.17640049,,,6.019981554,,,,,,,,19.00473422,0.239944981,76.00550186,,,0.003696421,1.945,,,0.051647262,27.175998,,,,,,,,,,,,,,,,,,,51.050452,4.432147,10.275092,780.9378,25.266666,12.621699,546.30566,22.2,,,,
0.0026109356,-0.0005049645,-0.0047461963,0.0023136083,0.5782734,0.0027077799,-0.00085584715,-0.6995111,-0.004655177,0.0019410474,1,Agrostis sp,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",2016.0,,,,,,,,,0.012191345,4.371190763,,,,,24.07812286,8.633179727,,,6.617554218,,,,,,,,27.89021383,0.296496993,70.35030067,,,0.005759905,2.065206627,,,0.060400645,21.656573,,,,,,,,,,,,,,,,,,,50.953734,5.436023,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
0.004298537,0.0016091485,-0.0070666117,0.0077105667,1.4508624,0.0066483067,-0.0012871531,-1.2293333,-0.0076392647,0.0024713508,2,Agrostis sp,1,73,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",2016.0,,,,,,,,,0.016675043,4.635952142,,,,,19.01040153,5.28522253,,,6.612722633,,,,,,,,35.96897089,0.352304707,64.76952926,,,0.00451681,1.255751744,,,0.095978433,26.683675,,,,,,,,,,,,,,,,,,,50.978703,4.608445,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
-0.0007707465,-0.0026180735,0.0043679164,0.00073856115,-1.3054564,0.0005231223,-0.0022860563,-0.70728374,0.0002684422,0.0006229912,3,Agrostis sp,1,73,Grassland,Proximal,ASD FieldSpec 3,"HaachtHol, Belgium",2016.0,,,,,,,,,0.012687347,4.028508982,,,,,25.50478552,8.098324666,,,7.095194003,,,,,,,,31.49390346,0.307420022,69.2579978,,,0.003512179,1.115193214,,,0.082232654,26.110658,,,,,,,,,,,,,,,,,,,50.98496,4.589217,10.289963,787.4311,23.12,11.44659,551.49225,22.370667,231.0,264.0,404.0,177.0
-0.00030751713,-0.002890801,0.0034547052,0.0006319876,-0.9651928,0.00049783493,-0.0020605056,-0.71382594,-0.00050747686,0.0010742261,4,Angelica sylvestris,1,73,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",2016.0,,,,,,,,,0.125558682,24.73090551,,,,,11.52918621,2.270868165,,,12.71285039,,,,,,,,50.76994952,0.285387245,71.46127549,,,0.011551063,2.275177165,,,0.073144104,14.406968,,,,,,,,,,,,,,,,,,,50.978703,4.608445,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
0.0009384544,-0.0021734461,0.0014310968,0.0023682253,-0.5015106,0.0016550587,-0.0028113197,-1.0979421,-0.002479615,0.0019113857,5,Arrhenaterum elatius,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",2016.0,,,,,,,,,0.010789872,3.807051459,,,,,23.12853602,8.160571908,,,6.949855171,,,,,,,,28.34180776,0.289673995,71.03260054,,,0.004670719,1.647996209,,,0.085647211,30.219389,,,,,,,,,,,,,,,,,,,50.953734,5.436023,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
0.0024749245,-0.0012433822,-0.0020075524,0.0032685394,0.005611837,0.0025820686,-0.0023281923,-1.0309854,-0.0043571396,0.0022252982,6,Arrhenatherum elatius,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",2016.0,,,,,,,,,0.01200851,4.367871486,,,,,26.74102578,9.726549554,,,7.146532222,,,,,,,,27.49281811,0.277822704,72.21772962,,,0.005297723,1.926947791,,,0.085081551,30.946828,,,,,,,,,,,,,,,,,,,50.951474,5.430897,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
0.0023860284,0.0005462128,-0.0024940544,0.0045520384,1.3815186,0.0022410818,0.0006934074,-0.17414439,-0.0031530887,0.00043227704,7,Calamgrostis epigejos,1,73,Grassland,Proximal,SVC HR-1024TM,"HeverleeKapel, Belgium",2016.0,,,,,,,,,0.01955494,2.731726908,,,,,23.21848045,3.243505119,,,10.46521947,,,,,,,,71.58453461,0.406183971,59.38160286,,,0.004969519,0.694216867,,,0.114687831,16.021314,,,,,,,,,,,,,,,,,,,50.861312,4.665949,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
0.0020330884,0.00027496694,-0.002468369,0.0035662837,1.1239052,0.001558919,0.00059927325,-0.07206617,-0.0026701454,0.000542917,8,Calystegia sepium,1,73,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",2016.0,,,,,,,,,0.02035173,8.8604,,,,,24.4125549,10.62833502,,,11.89283987,,,,,,,,22.96931256,0.161872326,83.81276741,,,0.003589506,1.56274,,,0.07432655,32.359066,,,,,,,,,,,,,,,,,,,51.060832,4.429857,10.275092,780.9378,25.266666,12.621699,546.30566,22.2,,,,
0.00058191555,-0.0024685403,0.0022324915,0.002066045,-0.66105276,0.0013599277,-0.0027991922,-1.0620807,-0.0019010319,0.0017703478,9,Calystegia sepium,1,73,Grassland,Proximal,ASD FieldSpec 3,"DoBeI, Belgium",2016.0,,,,,,,,,0.022024478,11.512,,,,,20.81039549,10.87740963,,,10.57322558,,,,,,,,19.13175673,0.153220743,84.67792574,,,0.003670772,1.91868,,,0.080796914,42.231832,,,,,,,,,,,,,,,,,,,50.82296,4.642087,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
