0,1,2,3,4,Species,dataset,LandCover,Tool,Sensor,Site,Al_area_mg_cm2,Al_mass_mg_g,Anth_area_ug_cm2,Anth_mass_mg_g,Boron_area_mg_cm2,Boron_mass_mg_g,C_area_mg_cm2,C_mass_mg_g,Ca_area_mg_cm2,Ca_mass_mg_g,Car_area_ug_cm2,Car_mass_mg_g,Cellulose_mg_cm2,Cellulose_mg_g,Chl_area_ug_cm2,Chl_mass_mg_g,Cu_area_mg_cm2,Cu_mass_mg_g,EWT_mg_cm2,Fiber_mg_cm2,Fiber_mg_g,Flavonoids_area_mg_cm2,Flavonoids_mass_mg_g,Iron_area_mg_cm2,Iron_mass_mg_g,LAI_m2_m2,LMA_g_m2,LDMC_g_g,LWC%,Lignin_mg_cm2,Lignin_mg_g,Mg_area_mg_cm2,Mg_mass_mg_g,Mn_area_mg_cm2,Mn_mass_mg_g,N_area_mg_cm2,N_mass_mg_g,NSC_mg_cm2,NSC_mg_g,Phenolics_area_mg_cm2,Phenolics_mass_mg_g,P_area_mg_cm2,P_mass_mg_g,Potassium_area_mg_cm2,Potassium_mass_mg_g,Protein_g_m2,RWC%,Starch_area_mg_cm2,Starch_mass_mg_g,Sugar_area_mg_cm2,Sugar_mass_mg_g,S_area_mg_cm2,S_mass_mg_g,Zn_mass_mg_g
0.004563541,1.558217,0.5640724,-0.46437073,-0.0026055332,Agrostis sp,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.010938365,5.7556,-99.0,-99.0,-99.0,-99.0,19.33997867,10.17640049,-99.0,-99.0,6.019981554,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19.00473422,0.239944981,76.00550186,-99.0,-99.0,0.003696421,1.945,-99.0,-99.0,0.051647262,27.175998,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.0008808505,-0.16029096,0.83778733,0.6487236,-0.008567825,Agrostis sp,1,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.012191345,4.371190763,-99.0,-99.0,-99.0,-99.0,24.07812286,8.633179727,-99.0,-99.0,6.617554218,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,27.89021383,0.296496993,70.35030067,-99.0,-99.0,0.005759905,2.065206627,-99.0,-99.0,0.060400645,21.656573,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.008934367,1.145227,0.81855845,0.77895164,-0.012131185,Agrostis sp,1,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.016675043,4.635952142,-99.0,-99.0,-99.0,-99.0,19.01040153,5.28522253,-99.0,-99.0,6.612722633,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,35.96897089,0.352304707,64.76952926,-99.0,-99.0,0.00451681,1.255751744,-99.0,-99.0,0.095978433,26.683675,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.0019747745,1.7032337,1.9540517,-0.6931853,-0.0039397925,Agrostis sp,1,Grassland,Proximal,ASD FieldSpec 3,"HaachtHol, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.012687347,4.028508982,-99.0,-99.0,-99.0,-99.0,25.50478552,8.098324666,-99.0,-99.0,7.095194003,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,31.49390346,0.307420022,69.2579978,-99.0,-99.0,0.003512179,1.115193214,-99.0,-99.0,0.082232654,26.110658,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.010319702,1.0724502,-0.9448576,-0.5349722,0.0009998918,Angelica sylvestris,1,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.125558682,24.73090551,-99.0,-99.0,-99.0,-99.0,11.52918621,2.270868165,-99.0,-99.0,12.71285039,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,50.76994952,0.285387245,71.46127549,-99.0,-99.0,0.011551063,2.275177165,-99.0,-99.0,0.073144104,14.406968,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.011850992,0.72641087,-0.39088726,-0.32803106,-0.0033506332,Arrhenaterum elatius,1,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.010789872,3.807051459,-99.0,-99.0,-99.0,-99.0,23.12853602,8.160571908,-99.0,-99.0,6.949855171,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,28.34180776,0.289673995,71.03260054,-99.0,-99.0,0.004670719,1.647996209,-99.0,-99.0,0.085647211,30.219389,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.0078520505,0.5239444,1.5329992,-0.057861805,-0.0108858645,Arrhenatherum elatius,1,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.01200851,4.367871486,-99.0,-99.0,-99.0,-99.0,26.74102578,9.726549554,-99.0,-99.0,7.146532222,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,27.49281811,0.277822704,72.21772962,-99.0,-99.0,0.005297723,1.926947791,-99.0,-99.0,0.085081551,30.946828,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.009666517,-0.04890299,1.3022572,1.9945822,-0.012034661,Calamgrostis epigejos,1,Grassland,Proximal,SVC HR-1024TM,"HeverleeKapel, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.01955494,2.731726908,-99.0,-99.0,-99.0,-99.0,23.21848045,3.243505119,-99.0,-99.0,10.46521947,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,71.58453461,0.406183971,59.38160286,-99.0,-99.0,0.004969519,0.694216867,-99.0,-99.0,0.114687831,16.021314,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.0019399785,-0.54532075,-0.91158867,1.6299944,-0.0051900465,Calystegia sepium,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.02035173,8.8604,-99.0,-99.0,-99.0,-99.0,24.4125549,10.62833502,-99.0,-99.0,11.89283987,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,22.96931256,0.161872326,83.81276741,-99.0,-99.0,0.003589506,1.56274,-99.0,-99.0,0.07432655,32.359066,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.011869118,0.9097719,-0.436368,-0.38262177,-0.0028518443,Calystegia sepium,1,Grassland,Proximal,ASD FieldSpec 3,"DoBeI, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.022024478,11.512,-99.0,-99.0,-99.0,-99.0,20.81039549,10.87740963,-99.0,-99.0,10.57322558,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19.13175673,0.153220743,84.67792574,-99.0,-99.0,0.003670772,1.91868,-99.0,-99.0,0.080796914,42.231832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.0028135274,-0.6977179,0.85885805,0.6471453,-0.007313218,Carrex riparia,1,Grassland,Proximal,SVC HR-1024TM,"PapenIn, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.013190039,1.900811359,-99.0,-99.0,-99.0,-99.0,27.63801383,3.98290341,-99.0,-99.0,13.13238061,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,69.39162461,0.345721425,65.42785755,-99.0,-99.0,0.008250284,1.188945233,-99.0,-99.0,0.101204548,14.584548,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.009405814,0.6127019,-1.8075473,-1.4017961,0.0092441905,Cirsium arvense,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.275347303,42.85818423,-99.0,-99.0,-99.0,-99.0,26.52690577,4.128949149,-99.0,-99.0,26.59206829,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,64.24614305,0.194586912,80.54130882,-99.0,-99.0,0.015379224,2.393797217,-99.0,-99.0,0.1525836,23.749846,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.006437285,0.48881102,-2.210213,-2.242417,0.016587045,Cirsium arvense,1,Grassland,Proximal,ASD FieldSpec 3,"BattSD, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.372996808,42.3108871,-99.0,-99.0,-99.0,-99.0,36.39925699,4.128949149,-99.0,-99.0,33.70172794,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,88.15622491,0.207341765,79.26582348,-99.0,-99.0,0.01763871,2.000846774,-99.0,-99.0,0.187639432,21.284876,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.008243609,-1.2833841,-0.82892346,1.0225639,0.00025127875,Cirsium oleraceum,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.072642543,24.22124249,-99.0,-99.0,-99.0,-99.0,30.0367018,10.01515375,-99.0,-99.0,17.79641736,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,29.9912538,0.144219625,85.57803748,-99.0,-99.0,0.003823674,1.27492986,-99.0,-99.0,0.093848577,31.291982,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.003492618,-1.2405341,-0.960165,-0.20748997,0.0011784163,Cirsium oleraceum,1,Grassland,Proximal,ASD FieldSpec 3,"BattSD, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.069664046,22.98705179,-99.0,-99.0,-99.0,-99.0,29.73668941,9.812218154,-99.0,-99.0,17.49557847,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,30.30577688,0.147644677,85.23553234,-99.0,-99.0,0.003711371,1.224641434,-99.0,-99.0,0.091056561,30.045942,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.010836769,-0.06598735,-1.173229,-1.1004622,0.0040576113,Cirsium oleraceum,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.090705766,23.6374502,-99.0,-99.0,-99.0,-99.0,26.40689094,6.881498223,-99.0,-99.0,19.47993878,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,38.37375246,0.164571925,83.54280754,-99.0,-99.0,0.003379183,0.88059761,-99.0,-99.0,0.080823619,21.062214,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.00082132407,-0.4612832,-0.10978532,0.45999622,-0.0037419405,Dactylis glomerata,1,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.013719428,3.320321932,-99.0,-99.0,-99.0,-99.0,36.50776719,8.835466285,-99.0,-99.0,11.47156713,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,41.31957048,0.264809219,73.51907812,-99.0,-99.0,0.007216542,1.746519115,-99.0,-99.0,0.085123951,20.601364,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.011812205,-0.21274209,-1.4725671,-0.38326645,0.0011325792,Dipsacus pilosus,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.061640254,13.94530938,-99.0,-99.0,-99.0,-99.0,20.54481648,4.647998706,-99.0,-99.0,15.21383097,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,44.2014247,0.225127251,77.48727488,-99.0,-99.0,0.006906362,1.56247505,-99.0,-99.0,0.08916631,20.172723,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.008269254,-0.058013916,0.32978547,-0.239954,-0.0054097585,Epilobium hirsutum,1,Grassland,Proximal,ASD FieldSpec 3,"DoBeS, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.072309884,18.94669339,-99.0,-99.0,-99.0,-99.0,25.34002976,6.639614741,-99.0,-99.0,10.57074582,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,38.16490978,0.265269213,73.47307873,-99.0,-99.0,0.010864533,2.846733467,-99.0,-99.0,0.092245121,24.17014,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.0031652264,-1.0321205,1.3138554,-0.18651485,-0.0050035035,Epilobium hirsutum,1,Grassland,Proximal,SVC HR-1024TM,"PapenIn, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.091525801,19.61870916,-99.0,-99.0,-99.0,-99.0,34.04738199,7.298113512,-99.0,-99.0,10.88992277,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,46.65230532,0.299915433,70.00845673,-99.0,-99.0,0.017227154,3.69266949,-99.0,-99.0,0.115690304,24.798411,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.0030859914,-0.4248016,1.379945,0.57219744,-0.008697509,Epilobium tetragonum,1,Grassland,Proximal,ASD FieldSpec 3,"DoBeS, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.055860635,18.65403226,-99.0,-99.0,-99.0,-99.0,29.78528674,9.946462365,-99.0,-99.0,10.35193238,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,29.94560845,0.224370611,77.56293886,-99.0,-99.0,0.009243956,3.086915323,-99.0,-99.0,0.08714314,29.100474,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.0011736844,1.3893657,0.27033603,-1.73314,0.0078053507,Equisetum arvense,1,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.345583121,28.47644711,-99.0,-99.0,-99.0,-99.0,63.27106705,5.213608781,-99.0,-99.0,29.62961483,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,121.3575274,0.290569758,70.94302422,-99.0,-99.0,0.037284133,3.072255489,-99.0,-99.0,0.223376308,18.406465,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.0034053996,0.15156531,0.33477664,-1.8918319,0.005377777,Equisetum palustre,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.181073296,17.72056452,-99.0,-99.0,-99.0,-99.0,47.90419839,4.688098455,-99.0,-99.0,46.31338702,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,102.1825775,0.180752883,81.92471174,-99.0,-99.0,0.035063251,3.431431452,-99.0,-99.0,0.244742171,23.951458,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.0016738717,-0.7377727,0.92218983,0.39282227,-0.0068788733,Eupatorium cannabinum,1,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.069431934,17.71726908,-99.0,-99.0,-99.0,-99.0,38.23814723,9.757405616,-99.0,-99.0,12.20587454,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,39.18884664,0.243035236,75.69647636,-99.0,-99.0,0.015775557,4.025522088,-99.0,-99.0,0.108137476,27.593942,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.006210234,0.62007475,2.3595011,-1.6891196,0.0010287084,Festuca rubra,1,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.026577478,5.1888,-99.0,-99.0,-99.0,-99.0,27.09807274,5.290437276,-99.0,-99.0,11.42379067,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,51.22085628,0.309568713,69.04312872,-99.0,-99.0,0.009935002,1.93964,-99.0,-99.0,0.068468445,13.367298,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.0005076602,-0.0019814968,1.5376463,0.5591464,-0.010742445,Filipendula ulmaria,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.019997434,10.98283433,-99.0,-99.0,-99.0,-99.0,18.70853914,10.27495768,-99.0,-99.0,5.814839638,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,18.20789898,0.238459696,76.1540304,-99.0,-99.0,0.013819759,7.58998004,-99.0,-99.0,0.04669939,25.647874,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-0.008621598,-0.44099522,1.0020499,1.6749678,-0.010042857,Filipendula ulmaria,1,Grassland,Proximal,ASD FieldSpec 4,"DoBeS, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.040435249,8.804204409,-99.0,-99.0,-99.0,-99.0,27.87120037,6.06856025,-99.0,-99.0,8.695349306,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,45.92720386,0.345627355,65.43726446,-99.0,-99.0,0.018198558,3.962478958,-99.0,-99.0,0.097272637,21.179743,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.0032039154,0.15912509,0.99771553,0.52855444,-0.009479528,Glechoma hederacea,1,Grassland,Proximal,ASD FieldSpec 5,"BattN, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.031153235,12.94732673,-99.0,-99.0,-99.0,-99.0,22.82402641,9.485696376,-99.0,-99.0,10.99659417,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,24.06151906,0.179526784,82.04732156,-99.0,-99.0,0.007203685,2.993861386,-99.0,-99.0,0.055788326,23.185704,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
