principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,Species,dataset,LandCover,Tool,Sensor,Site,Longitude,Latitude,Al_area_mg_cm2,Al_mass_mg_g,Anth_area_ug_cm2,Anth_mass_mg_g,Boron_area_mg_cm2,Boron_mass_mg_g,C_area_mg_cm2,C_mass_mg_g,Ca_area_mg_cm2,Ca_mass_mg_g,Car_area_ug_cm2,Car_mass_mg_g,Cellulose_mg_cm2,Cellulose_mg_g,Chl_area_ug_cm2,Chl_mass_mg_g,Cu_area_mg_cm2,Cu_mass_mg_g,EWT_mg_cm2,Fiber_mg_cm2,Fiber_mg_g,Flavonoids_area_mg_cm2,Flavonoids_mass_mg_g,Iron_area_mg_cm2,Iron_mass_mg_g,LAI_m2_m2,LMA_g_m2,LDMC_g_g,LWC%,Lignin_mg_cm2,Lignin_mg_g,Mg_area_mg_cm2,Mg_mass_mg_g,Mn_area_mg_cm2,Mn_mass_mg_g,N_area_mg_cm2,N_mass_mg_g,NSC_mg_cm2,NSC_mg_g,Phenolics_area_mg_cm2,Phenolics_mass_mg_g,P_area_mg_cm2,P_mass_mg_g,Potassium_area_mg_cm2,Potassium_mass_mg_g,Protein_g_m2,RWC%,Starch_area_mg_cm2,Starch_mass_mg_g,Sugar_area_mg_cm2,Sugar_mass_mg_g,S_area_mg_cm2,S_mass_mg_g,Zn_mass_mg_g,bio_1,bio_12,bio_13-14,bio_15,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-7.75943,-14.256746,-3.858052,1.9997293,1.3800212,-2.1273725,-7.5758777,-0.07340754,0.3228969,-7.311438,Agrostis sp,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",4.432147,51.050452,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.010938365,5.7556,-99.0,-99.0,-99.0,-99.0,19.33997867,10.17640049,-99.0,-99.0,6.019981554,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19.00473422,0.239944981,76.00550186,-99.0,-99.0,0.003696421,1.945,-99.0,-99.0,0.051647262,27.175998,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
21.172361,0.2350027,-7.591417,1.298855,2.0832388,-1.8377482,-2.1739857,1.584526,-0.112989664,-4.488749,Agrostis sp,1,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",5.436023,50.953734,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.012191345,4.371190763,-99.0,-99.0,-99.0,-99.0,24.07812286,8.633179727,-99.0,-99.0,6.617554218,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,27.89021383,0.296496993,70.35030067,-99.0,-99.0,0.005759905,2.065206627,-99.0,-99.0,0.060400645,21.656573,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.163222,768.79114,26.782223,13.121497,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
17.300556,-23.71035,-9.365855,2.2726362,-0.43823147,-0.81140244,-8.501131,3.0081587,0.25813118,-4.2969623,Agrostis sp,1,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",4.608445,50.978703,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.016675043,4.635952142,-99.0,-99.0,-99.0,-99.0,19.01040153,5.28522253,-99.0,-99.0,6.612722633,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,35.96897089,0.352304707,64.76952926,-99.0,-99.0,0.00451681,1.255751744,-99.0,-99.0,0.095978433,26.683675,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.5075,762.36444,24.244444,11.929838,762.36444,24.244444,11.929838,563.0667,22.489779,-99.0,-99.0,-99.0,-99.0
-11.707717,-13.967769,-9.500376,2.7850213,1.359667,-2.154544,-3.94799,-1.393515,0.0819421,-4.249601,Agrostis sp,1,Grassland,Proximal,ASD FieldSpec 3,"HaachtHol, Belgium",4.589217,50.98496,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.012687347,4.028508982,-99.0,-99.0,-99.0,-99.0,25.50478552,8.098324666,-99.0,-99.0,7.095194003,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,31.49390346,0.307420022,69.2579978,-99.0,-99.0,0.003512179,1.115193214,-99.0,-99.0,0.082232654,26.110658,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.289963,787.4311,23.12,11.44659,787.4311,23.12,11.44659,551.49225,22.370667,231.0,264.0,404.0,177.0
-6.073766,-8.847642,4.2856245,-0.75780386,6.071412,-4.31939,-1.9764249,0.82473284,0.089682385,-5.105849,Angelica sylvestris,1,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",4.608445,50.978703,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.125558682,24.73090551,-99.0,-99.0,-99.0,-99.0,11.52918621,2.270868165,-99.0,-99.0,12.71285039,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,50.76994952,0.285387245,71.46127549,-99.0,-99.0,0.011551063,2.275177165,-99.0,-99.0,0.073144104,14.406968,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.5075,762.36444,24.244444,11.929838,762.36444,24.244444,11.929838,563.0667,22.489779,-99.0,-99.0,-99.0,-99.0
-1.0703312,-7.3699484,1.4543825,0.47786942,0.9166284,-1.042008,-3.184322,0.85049146,0.10931492,-5.939252,Arrhenaterum elatius,1,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",5.436023,50.953734,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.010789872,3.807051459,-99.0,-99.0,-99.0,-99.0,23.12853602,8.160571908,-99.0,-99.0,6.949855171,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,28.34180776,0.289673995,71.03260054,-99.0,-99.0,0.004670719,1.647996209,-99.0,-99.0,0.085647211,30.219389,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.163222,768.79114,26.782223,13.121497,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
8.249885,-3.9758494,-7.8644447,2.29252,-1.4827305,0.099337496,-5.282303,1.5929238,-0.019336058,-5.540994,Arrhenatherum elatius,1,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",5.430897,50.951474,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.01200851,4.367871486,-99.0,-99.0,-99.0,-99.0,26.74102578,9.726549554,-99.0,-99.0,7.146532222,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,27.49281811,0.277822704,72.21772962,-99.0,-99.0,0.005297723,1.926947791,-99.0,-99.0,0.085081551,30.946828,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.163222,768.79114,26.782223,13.121497,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
51.742947,-1.4208603,-13.939463,0.9653739,5.1660004,-3.5286393,3.9318764,1.1842113,-0.44671583,-1.21806,Calamgrostis epigejos,1,Grassland,Proximal,SVC HR-1024TM,"HeverleeKapel, Belgium",4.665949,50.861312,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.01955494,2.731726908,-99.0,-99.0,-99.0,-99.0,23.21848045,3.243505119,-99.0,-99.0,10.46521947,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,71.58453461,0.406183971,59.38160286,-99.0,-99.0,0.004969519,0.694216867,-99.0,-99.0,0.114687831,16.021314,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.5075,762.36444,24.244444,11.929838,762.36444,24.244444,11.929838,563.0667,22.489779,-99.0,-99.0,-99.0,-99.0
41.31723,6.1751294,4.075969,0.8610163,2.9898715,-2.5800855,-5.7610955,-2.6432595,0.33882406,-10.670285,Calystegia sepium,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",4.429857,51.060832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.02035173,8.8604,-99.0,-99.0,-99.0,-99.0,24.4125549,10.62833502,-99.0,-99.0,11.89283987,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,22.96931256,0.161872326,83.81276741,-99.0,-99.0,0.003589506,1.56274,-99.0,-99.0,0.07432655,32.359066,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
-3.1528578,-8.870595,1.9474785,1.2843103,0.08315942,-0.9115874,-6.0435214,-0.60635895,0.2774519,-7.024981,Calystegia sepium,1,Grassland,Proximal,ASD FieldSpec 3,"DoBeI, Belgium",4.642087,50.82296,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.022024478,11.512,-99.0,-99.0,-99.0,-99.0,20.81039549,10.87740963,-99.0,-99.0,10.57322558,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19.13175673,0.153220743,84.67792574,-99.0,-99.0,0.003670772,1.91868,-99.0,-99.0,0.080796914,42.231832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.5075,762.36444,24.244444,11.929838,762.36444,24.244444,11.929838,563.0667,22.489779,-99.0,-99.0,-99.0,-99.0
