principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,carbon_area,carbon_mass,Jmax,latin_genus,latin_species,leaf_mass_per_area,nitrogen_area,nitrogen_mass,Rd,Vcmax,leaf_dry_matter_content,equivalent_water_thickness,latitude,longitude,dataset,Unnamed: 2016,species_name,chlorophyll_area,chlorophyll_mass,carotenoids_area,carotenoids_mass,phenolics_mass,phenolics_area,solubles_mass,hemicellulose_mass,cellulose_mass,lignin_mass,aluminum_mass,boron_mass,calcium_mass,copper_mass,iron_mass,potassium_mass,magnesium_mass,manganese_mass,sodium_mass,phosphorus_mass,zinc_mass,solubles_area,hemicellulose_area,cellulose_area,lignin_area,aluminum_area,calcium_area,copper_area,iron_area,potassium_area,magnesium_area,manganese_area,sodium_area,phosphorus_area,zinc_area,boron_area,bio_1,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-46.871346,17.976994,-28.159374,-1.7137707,-4.6925883,-1.1157762,-1.4771804,0.9223718,-1.3169402,-1.2671442,6.605,454.9,147.9960641,Vochysia,ferruginea,0.01452,0.24,16.5,1.084855772,93.88604428,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-55.8749,-7.640554,20.13692,-15.792997,-5.489915,-0.1491273,1.7125206,0.36686856,0.93450576,-0.034131594,3.317,515.8,69.11181171,Miconia,borealis,0.006431,0.161,25.0,1.35614267,40.29496655,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-49.484566,23.436308,-20.872984,-5.9659376,-7.1033688,-0.35550243,-1.0106301,0.87857664,-1.7159139,0.38011897,6.524,443.9,,Vochysia,ferruginea,0.014697,0.219,14.9,0.8782176,68.00424002,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-19.237799,10.612471,-17.371273,-5.0702887,-3.06741,-1.9698932,0.61446756,1.5137955,-0.40612444,-0.7398224,4.792,500.4,107.3330908,Terminalia,amazonia,0.009576,0.193,20.2,0.843416812,67.56262173,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-24.25483,5.0502777,-16.099777,-2.4243028,-0.55630934,-0.37722725,-0.86056596,0.08644473,-0.9856779,-0.567108,4.094,474.0,110.9721811,Terminalia,amazonia,0.008636,0.179,20.7,0.688599453,77.95130517,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-44.562904,26.268646,17.36899,-26.181229,-11.529689,-2.3126173,0.3108985,5.644281,0.5339958,-0.41959277,4.902,428.2,,Vochysia,ferruginea,0.011448,0.106,9.3,1.523346528,33.96640382,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-52.918633,15.095709,6.01551,-20.362001,-7.123195,0.14015174,0.6851354,3.383198,-0.4852975,0.6935652,3.823,426.2,60.30374616,Vochysia,ferruginea,0.00897,0.133,14.8,1.752164777,34.59434335,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-32.463814,4.390842,1.5122142,-7.1316824,-6.2951183,-3.1747704,2.2737756,-1.1369332,1.0027432,0.29323262,5.021,531.6,138.9319063,Miconia,borealis,0.009444,0.195,20.6,0.317147774,98.8950287,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-27.049408,15.260179,9.284014,-18.784788,-8.337388,-3.0630038,1.3179675,2.8411098,1.9904714,-0.2315156,4.452,491.0,56.66287712,Terminalia,amazonia,0.009068,0.167,18.4,1.29527687,31.85184771,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-5.9397554,0.40906465,-1.6941675,-16.891464,-4.0183926,-0.44729194,1.4142145,2.7531781,-0.045725573,-1.1815972,2.676,473.1,46.3769073,Terminalia,amazonia,0.005657,0.098,17.4,0.681904529,30.56988081,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
