0,1,2,3,4,project,sample_id,site,stage,latin.genus,latin.species,growth.form,functional.group,latitude,Al_area,Al_mass,Ca_area,Ca_mass,Carea,Cmass,Cu_area,Cu_mass,EWT,Fe_area,Fe_mass,K_area,K_mass,LDMC,LMA,Mg_area,Mg_mass,Mn_area,Mn_mass,Na_area,Na_mass,Narea,Nmass,P_area,P_mass,Zn_area,Zn_mass,car_area,car_mass,hemicellulose_area,cellulose_area,hemicellulose_mass,cellulose_mass,chlA_area,chlA_mass,chlB_area,chlB_mass,hemicellulose_area,hemicellulose_mass,lignin_area,lignin_mass,solubles_area,solubles_mass
-1.7476526,0.0011493921,1.6543767,0.25380898,0.010829873,2018-BeauchampRioux-MSc-UdeM,8133311,JBM_JardinFleuri,-99,Acer,saccharum,tree,broadleaf,45.558558,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-1.7010363,0.003203725,0.97850704,-0.4575796,0.006226226,2018-BeauchampRioux-MSc-UdeM,8559355,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.5443194,1.03046946387718e-07,0.017,3.20597234967435e-05,5.289,0.0029216840093458,48.2,4.84926806530437e-08,0.008,0.106664045721226,4.0006461538761e-07,0.066,5.7542627179918e-05,9.493,327.015959680806,0.0606158508163046,1.08078062005471e-05,1.783,2.19429379955023e-06,0.362,7.95886121218079e-06,1.313,0.0002407964673677,3.9725,1.82635558509526e-05,3.013,7.63759720285438e-07,0.126,1.05532196271186e-05,1.741,0.0007586011449326,0.0004789701610559,12.5148972540462,7.90173122385886,4.62680789280853e-05,7.633,1.31475780420565e-05,2.169,0.0007586011449326,12.5148972540462,0.0006489306574578,10.705626477543,0.0041525213231061,68.5055355519185
-1.7884752,0.006745831,0.10060656,-0.57729626,-0.0016567558,2018-BeauchampRioux-MSc-UdeM,8560880,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.544284,0.0,0.0,2.96544742754116e-05,5.054,0.0028193460406282,48.05,4.10726790518166e-08,0.007,0.104271957869788,3.05111330099209e-07,0.052,3.87667414993361e-05,6.607,324.299474605955,0.0586752557883095,8.33188632193994e-06,1.42,2.32940765479589e-06,0.397,5.16342250937123e-06,0.88,0.0001954296744541,3.3307,1.44693180773971e-05,2.466,6.45427813671404e-07,0.11,1.04911357349497e-05,1.788,0.0007171106448954,0.0004470986201991,12.2216875795599,7.61988361520274,4.58957850776157e-05,7.822,1.32782103848944e-05,2.263,0.0007171106448954,12.2216875795599,0.0007838792233816,13.35962174941,0.0038935892477229,66.3582833242408
-1.7233945,0.008019555,-0.8751075,-0.78958035,-0.007944819,2018-BeauchampRioux-MSc-UdeM,8562362,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.5442619,0.0,0.0,2.5249427045642e-05,5.017,0.0025128640470179,49.93,4.02621918208364e-08,0.008,0.0919911577796055,2.86868116723459e-07,0.057,4.07352725747312e-05,8.094,330.783110790328,0.0503277397760454,8.18832326156259e-06,1.627,1.47963554941574e-06,0.294,4.5445949017769e-06,0.903,0.0002244013261134,4.4588,1.27379509373171e-05,2.531,5.33474041626082e-07,0.106,9.70318822882156e-06,1.928,0.0006329220664125,0.0003975147664882,12.5760081662518,7.89852213227113,4.25269401107584e-05,8.45,1.26070988138994e-05,2.505,0.0006329220664125,12.5760081662518,0.0006833306969544,13.5776154461781,0.0032999087896146,65.5683884136066
-1.2814485,0.003193296,0.22076082,0.5228987,0.0037255138,2018-BeauchampRioux-MSc-UdeM,8563466,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.543955,3.89481709877103e-08,0.008,1.98002764258772e-05,4.067,0.0023923914029201,49.14,3.40796496142465e-08,0.007,0.0967490570283716,2.48294590046653e-07,0.051,3.92159396632508e-05,8.055,308.218449870645,0.0486852137346379,9.38164068666473e-06,1.927,1.6942454379654e-06,0.348,4.36219515062356e-06,0.896,0.0001844439322336,3.7885,1.17087939031804e-05,2.405,3.99218752624031e-07,0.082,8.06227139445604e-06,1.656,0.0004386113364666,0.0003525362603846,9.0091282921607,7.24113613439553,3.59978470353913e-05,7.394,1.06328506796449e-05,2.184,0.0004386113364666,9.0091282921607,0.0006221673684116,12.7793907160981,0.0034392350942679,70.64229219602
-0.9678883,0.005945935,-1.0603225,0.22576809,-0.008293446,2018-BeauchampRioux-MSc-UdeM,8564635,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.5438637,2.20740795898515e-07,0.059,2.0139791598673e-05,5.383,0.0017966055964485,48.02,2.61895859540611e-08,0.007,0.0763404131270339,4.04067897576943e-07,0.108,3.56178368975231e-05,9.52,295.224403050381,0.0374136942200873,7.74089333413606e-06,2.069,1.17478999851074e-06,0.314,1.76592636718812e-06,0.472,0.0001182983597544,3.1619,8.79595951114252e-06,2.351,3.85361050466899e-07,0.103,5.26784814618829e-06,1.408,0.0004722238601737,0.0002822537848847,12.6216849209245,7.5441303182825,2.76823923534426e-05,7.399,8.85582142189466e-06,2.367,0.0004722238601737,12.6216849209245,0.0004824120712165,12.8939972721962,0.0024866827528885,66.4645073074188
0.2793795,-0.0007197326,0.19632256,0.0059404373,0.0027669948,2018-BeauchampRioux-MSc-UdeM,9153899,MSB_Chemin,-99,Acer,rubrum,tree,broadleaf,45.544494,2.32439548848563e-08,0.005,2.49640075463357e-05,5.37,0.0022197976915037,47.75,4.64879097697126e-08,0.01,0.0840024275468397,3.25415368387988e-07,0.07,3.95426160501175e-05,8.506,348.164498141264,0.0464879097697126,7.15913810453574e-06,1.54,9.62299732233051e-07,0.207,3.39361741318902e-06,0.73,0.0001253314047391,2.696,8.73972703670597e-06,1.88,1.34814938332167e-07,0.029,8.04240839016028e-06,1.73,0.0003317699266196,0.0005223358218061,7.13669270705266,11.2359498285389,3.95054257223018e-05,8.498,1.24820037731678e-05,2.685,0.0003317699266196,7.13669270705266,0.0003469982397731,7.46426848382831,0.0034222320609525,73.6155288096463
-0.35010052,0.0033806404,-1.2484901,-0.6236019,-0.008714482,2018-BeauchampRioux-MSc-UdeM,9155113,MSB_Chemin,-99,Acer,rubrum,tree,broadleaf,45.544466595,9.905510840275451e-09,0.002,2.16881159847831e-05,4.379,0.0024006005521407,48.47,3.96220433611018e-08,0.008,0.0847650539812253,2.72401548107575e-07,0.055,3.92505867045915e-05,7.925,358.90686321432,0.0495275542013772,9.64301480300815e-06,1.947,7.87488111801898e-07,0.159,4.60110978530795e-06,0.929,0.0001101195640113,2.2234,9.46966836330333e-06,1.912,1.0896061924303e-07,0.022,5.1855349248842e-06,1.047,0.0003319099326817,0.0005326730112989,6.70152076018485,10.7550841120297,3.76657049701474e-05,7.605,1.78299195124958e-05,3.6,0.0003319099326817,6.70152076018485,0.000404450070059,8.16616278717361,0.0036643976264653,73.9870499473097
0.8011974,0.00035398308,-0.54531455,-1.4418383,-0.0077837165,2018-BeauchampRioux-MSc-UdeM,9156239,MSB_Chemin,-99,Acer,rubrum,tree,broadleaf,45.5444604899,5.55460966910319e-08,0.012,2.5588235209002e-05,5.528,0.002185276020653,47.21,6.01749380819512e-08,0.013,0.0810445158816479,3.74936152664465e-07,0.081,3.51467926812504e-05,7.593,349.070672534827,0.0462884139091932,9.90109173517643e-06,2.139,1.60157912125809e-06,0.346,2.61529538586942e-06,0.565,0.000110203455835,2.3808,8.55409889041891e-06,1.848,8.33191450365478e-08,0.018,7.82274195065366e-06,1.69,0.0004398191431684,0.0004850313824018,9.50171124962884,10.4784619182108,3.52717713988053e-05,7.62,1.17989167054534e-05,2.549,0.0004398191431684,9.50171124962884,0.0003951149179522,8.53593555241263,0.003287064954582,71.0126936090414
0.65944636,0.00084858655,-0.58949614,-1.3373022,-0.008007789,2018-BeauchampRioux-MSc-UdeM,9157296,MSB_Chemin,-99,Acer,rubrum,tree,broadleaf,45.544158755,-99.0,-99.0,2.08754434401119e-05,4.161,0.0023945804263315,47.73,5.01692944967843e-08,0.01,0.081205623642708,-99.0,-99.0,4.35168460465107e-05,8.674,374.13532048808,0.0501692944967843,9.11074388061603e-06,1.816,3.56201990927169e-07,0.071,3.54195219147297e-06,0.706,0.0001165733726927,2.3236,8.64918637124561e-06,1.724,1.00338588993569e-07,0.02,8.06220562563324e-06,1.607,0.0005253450759653,0.0005095020826753,10.4714463544825,10.1556557210107,3.6382772369068e-05,7.252,1.19001566546372e-05,2.372,0.0005253450759653,10.4714463544825,0.0003326804201394,6.63115603829739,0.003631825605543,72.3914027887276
