principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,latitude,hemicellulose_area,cellulose_area,hemicellulose_mass,cellulose_mass,hemicellulose_area,hemicellulose_mass,lignin_area,lignin_mass,solubles_area,solubles_mass,bio_1,bio_12,bio_13-14,bio_15,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-46.43534,18.656008,-28.154451,1.0914408,-4.4755583,-1.554582,-1.4886163,1.0355793,-1.2948189,-1.3216065,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-56.03827,-8.47127,18.384161,17.416561,-5.464064,-0.7195734,1.5014261,0.17337422,0.7209583,0.027446887,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-49.23341,23.780977,-21.364902,5.865138,-6.9015036,-1.0037644,-1.2658045,0.89689976,-1.7682403,0.4040021,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-19.117647,11.002669,-17.865292,5.113473,-2.899391,-2.226298,0.8916059,1.369154,-0.49548432,-0.4626724,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-24.005842,5.450701,-16.285826,2.049267,-0.36060545,-0.5348394,-0.88492924,0.15969627,-0.90425825,-0.6139047,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-45.055305,25.354143,15.085514,28.703848,-11.537935,-3.3704798,0.92808837,5.8132787,0.31859237,-0.4763809,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-53.125393,14.555566,3.9962316,22.105732,-7.152409,-0.63052356,0.8587434,3.4087517,-0.70837533,0.8167254,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-32.521667,4.148395,0.69400173,7.7635465,-6.1103,-3.6268494,2.0015492,-1.4644272,0.9004767,0.38100317,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-27.406998,14.695606,7.4814596,20.693491,-8.351878,-3.7589092,1.7636808,2.8201303,1.8484318,-0.04087413,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-6.2013927,0.26023751,-3.4688098,18.266615,-4.0338507,-0.89418834,1.9085456,2.6457634,-0.17589669,-1.0023098,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
